Trial 1,Trial 2,Trial 3,Trial 4,Trial 5,Trial 6,Trial 7,Trial 8,Trial 9,Trial 10,Trial 11,Trial 12,Trial 13,Trial 14,Trial 15,Trial 16,Average
,,,,,2077,,,,,,,,,,,129.8125
,,,,,1398,,,,,,,,,,,87.375
,,,,,1824,,,,,,,,,,,114
,,,,,1984,,,,,,,,,,,124
,,,,,2595,,,,,,,,,,,162.1875
,,,,,2451,,,,,,,,,,,153.1875
,,,,,2223,,,,,,,,,,,138.9375
,,,,,1638,,,,,,,,,,,102.375
,,,,,2090,,,,,,,,,,,130.625
,,,,,1741,,,,,,,,,,,108.8125
,,,,,2655,,,,,,,,,,,165.9375
,,,,,2207,,,,,,,,,,,137.9375
,,,,,2280,,,,,,,,,,,142.5
,,,,,2442,,,,,,,,,,,152.625
,,,,,2219,,,,,,,,,,,138.6875
,,,,,2413,,,,,,,,,,,150.8125
,,,,,2332,,,,,,,,,,,145.75
,,,,,2113,,,,,,,,,,,132.0625
,,,,,1349,,,,,,,,,,,84.3125
,,,,,1845,,,,,,,,,,,115.3125
,,,,,1815,,,,,,,,,,,113.4375
,,,,,2345,,,,,,,,,,,146.5625
,,,,,2524,,,,,,,,,,,157.75
,,,,,2339,,,,,,,,,,,146.1875
,,,,,2262,,,,,,,,,,,141.375
,,,,,2387,,,,,,,,,,,149.1875
,,,,,2821,,,,,,,,,,,176.3125
,,,,,1964,,,,,,,,,,,122.75
,,,,,2235,,,,,,,,,,,139.6875
,,,,,2744,,,,,,,,,,,171.5
,,,,,2117,,,,,,,,,,,132.3125
,,,,,2332,,,,,,,,,,,145.75
,,,,,1968,,,,,,,,,,,123
,,,,,1754,,,,,,,,,,,109.625
,,,,,2139,,,,,,,,,,,133.6875
,,,,,2384,,,,,,,,,,,149
,,,,,1731,,,,,,,,,,,108.1875
,,,,,2046,,,,,,,,,,,127.875
,,,,,2316,,,,,,,,,,,144.75
,,,,,2092,,,,,,,,,,,130.75
,,,,,1916,,,,,,,,,,,119.75
,,,,,2764,,,,,,,,,,,172.75
,,,,,1686,,,,,,,,,,,105.375
,,,,,2095,,,,,,,,,,,130.9375
,,,,,2688,,,,,,,,,,,168
,,,,,2205,,,,,,,,,,,137.8125
,,,,,1903,,,,,,,,,,,118.9375
,,,,,2095,,,,,,,,,,,130.9375
,,,,,2412,,,,,,,,,,,150.75
,,,,,2575,,,,,,,,,,,160.9375
,,,,,2098,,,,,,,,,,,131.125
,,,,,2370,,,,,,,,,,,148.125
,,,,,2172,,,,,,,,,,,135.75
,,,,,2253,,,,,,,,,,,140.8125
,,,,,2467,,,,,,,,,,,154.1875
,,,,,2524,,,,,,,,,,,157.75
,,,,,1621,,,,,,,,,,,101.3125
,,,,,2335,,,,,,,,,,,145.9375
,,,,,2281,,,,,,,,,,,142.5625
,,,,,2420,,,,,,,,,,,151.25
,,,,,1869,,,,,,,,,,,116.8125
,,,,,1696,,,,,,,,,,,106
,,,,,2086,,,,,,,,,,,130.375
,,,,,2014,,,,,,,,,,,125.875
,,,,,1799,,,,,,,,,,,112.4375
